id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,detailed_title,food_pairing,character,grape_variety,country_detail,region,producer,year,volume_detail,alcohol_detail,detailed_description,detailed_price,image_urls
108779,Bottega Amarone della Valpolicella,"Amarone is a full bodied, balanced and pleasant wine. It is grown in the Valpolicella area, in Veneto, near Verona.The selected harvest, the drying on trellises and ageing in small oak casks make it ""Il vino degli Dei"" (The Wine of Gods).",29.95,,,Bottega ,,,,/owif/images/108779?size=300,,,,,,,,,,,,,,,
108556,Bottega Cabernet delle Venezie IGT,"Cabernet Sauvignon Igt delle Venezie is a powerful wine, full bodied and persistent on the palate.",7.5,,,Bottega ,,,,/owif/images/108556?size=300,,,,,,,,,,,,,,,
108843,Bottega Chianti Classico D.O.C.G.,,14.5,,,Bottega ,,,,/owif/images/108843?size=300,,,,,,,,,,,,,,,
118584,Bottega Collio Pinot Grigio,,12.5,,,Bottega ,,,,/owif/images/118584?size=300,,,,,,,,,,,,,,,
118035,Bottega Pinot Grigio delle Venezie I.G.T.,Pinot Grigio Igt delle Venezie is a dry wine with pleasant fruity scents.,8.5,,,Bottega ,,,,/owif/images/118035?size=300,,,,,,,,,,,,,,,
127128,Bottega Pinot Grigio Rosato I.G.T.,,7.95,,,Bottega ,,,,/owif/images/127128?size=300,,,,,,,,,,,,,,,
110154,Bottega Pret à Porter Amarone Riserva DOCG,,58.95,,,Bottega ,,,,/owif/images/110154?size=300,,,,,,,,,,,,,,,
118192,Bottega Sauvignon Blanc,,10.5,,,Bottega ,,,,/owif/images/118192?size=300,,,,,,,,,,,,,,,
108428,Bottega Valpolicella Classico,Valpolicella Classico is a red wine suitable for all occasions.It goes particularly well with poultry and cheese.,11.95,,,Bottega ,,,,/owif/images/108428?size=300,,,,,,,,,,,,,,,
107962,Bottega Valpolicella Ripasso D.O.C.,"Ripasso is a traditional wine from the Valpolicella area, in Veneto, near Verona. It is an enological novelty which stands out thanks to its double fermentation, which refines the best aromas.",15.5,,,Bottega ,,,,/owif/images/107962?size=300,,,,,,,,,,,,,,,
109371,Bottega Venedikà Venezia D.O.C.,,16.5,,,Bottega ,,,,/owif/images/109371?size=300,,,,,,,,,,,,,,,
107960,Bottega Vino dei Poeti Brunello di Montalcino D.O.C.G.,"Brunello di Montalcino is one of the most prestigious Italian wines, well-known all over the world. It is regarded as one of the red wines that best guarantees longevity. Montalcino is located about forty miles south of the city of Siena, in a beautiful hilly area. An uncontaminated agricultural landscape of great history and great beauty that, since2004, is registered on the UNESCO World Heritage list.",29.95,,,Bottega ,,,,/owif/images/107960?size=300,,,,,,,,,,,,,,,
110166,Bread & Butter Pinot Noir BIB,"En prisbelönt global framgångssaga och ett av Sveriges mest sålda röda viner. Framställningsmetod: Druvorna skördas från de coolaste områdena i Kalifornien för att garantera multidimensionalitet. Vinet åldras i ståltankar, varefter det mognar 3-6 månader på ståltankar och delvis på ek. I en miljövänlig Bag-in-Box. Lågt koldioxidavtryck, fyllt i Danmark.Beskrivning: Doften är rik röd frukt och bär. Den torra smaken är behagligt mogen och tanninerna är mjuka. Den friska syran balanserar vinets fruktighet. Napa Valley's Bread & Butter startade 2013 från vinmakaren Linda Trottas idé om en serie klassiska kaliforniska viner som skulle vara lättillgängligt okomplicerade, men samtidigt övertygande i sin kvalitet. Vinerna uppmärksammades snabbt och Linda tilldelades Årets Kalifonri vinmakare 2018. Sedan 2019 har gården funnits på listan över de snabbast växande TOP100 kraftvinsmärkena.",27.95,,,Bread & Butter,,,,/owif/images/110166?size=300,,,,,,,,,,,,,,,
119790,Bruce Jack Lifestyle Chenin Blanc,"Sydafrika producerar fantastiska viner av druvan Chenin Blanc.Detta vin är ett utmärkt exempel på det och kommer från Breedekloof. Druvor från äldre stockar fick jäsa på franska ekfat för att få ett djup och komplexitet.Vinet har en generös smak av stenfrukt, tropisk frukt och citrus.",9.95,,,Bruce Jack,,,,/owif/images/119790?size=300,,,,,,,,,,,,,,,
119791,Bruce Jack Lifestyle Sauvignon Blush,Efter jäsningen av sauvignon blancdruvorna tillsätts skal av shirazdruvanför att ge vinet en vacker laxrosa färg och en fräsch attraktiv smak.Vinet får smak av rosor och nektarinsorbet och en touch av pressad limefrukt.,9.95,,,Bruce Jack,,,,/owif/images/119791?size=300,,,,,,,,,,,,,,,
119792,Cali by Snoop Blanc,"Friskt och fruktigt vitt vin med mogen solmogen frukt.I smaken kan du känna aromer av örter, citrus och honungsmelon. Syran i vinet ger en frisk eftersmak som passar till matbordet.",11.95,,,Cali by Snoop,,,,/owif/images/119792?size=300,,,,,,,,,,,,,,,
109947,Cali by Snoop Red Blend,Fylligt vin med tydlig smak av mörka frukter och bär från druvan Petit Sirah som kompletteras med smak av ljus röda frukter och liten touch av kanderad frukt. Rostade fattoner integreras väl med frukten och ger en utvecklad mogen eftersmak.,12.95,,,Cali by Snoop,,,,/owif/images/109947?size=300,,,,,,,,,,,,,,,
110088,Camden Park Cabernet Sauvignon/Shiraz BIB,"Fyllig, höga tanniner, surkörsbärskaraktär, svartvinbärig, plommonkaraktär, lätt vaniljton, rostad. Mustig och syltig. ",17.95,,,Camden Park,,,,/owif/images/110088?size=300,,,,,,,,,,,,,,,
110051,Camden Park Shiraz Petit Verdot CS tetra,"Medelfyllig, medelhöga tanniner, körsbärig, hallonkaraktär, jordgubbig, lätt kryddighet. Mustigt and syltigt. ",7.5,,,Camden Park,,,,/owif/images/110051?size=300,,,,,,,,,,,,,,,
119714,Cape Original Fruity & Tropical,"Halvtorr, låg syra, klementinkaraktär, päronkaraktär, inslag av honungsmelon, lätt ton av gula plommon. Milt och sötaktigt.",7.95,,,Origin Wine,,,,/owif/images/119714?size=300,,,,,,,,,,,,,,,
109667,Casalforte Rosso BIB,"Casalforte rosso är ett strukturerat och elegant vin med en mycket god koncentration av blåbär, körsbär, choklad,, syltade bär och en angenäm ton av kryddor så som nejlika och vanilj. Mjuka tanniner i vinet gör att det går mycket bra med en krämig pasta, grillat rött kött och mogna ostar.",17.95,,,Casalforte,,,,/owif/images/109667?size=300,,,,,,,,,,,,,,,
